category,disease,disease_code,diagnostic_role,recommendation_count,direct_formal_recommendation_count,subtype_formal_recommendation_count,effective_formal_recommendation_count
肺动脉高压,慢性血栓栓塞性肺动脉高压,DIS-CARD-PH-CTEPH,clinical_subtype,0,0,0,0
肺动脉高压,特发性肺动脉高压,DIS-CARD-PH-IPAH,clinical_subtype,0,0,0,0
肺动脉高压,结缔组织病相关肺动脉高压,DIS-CARD-PH-CTD,clinical_subtype,0,0,0,0
肺动脉高压,肺动脉高压,DIS-CARD-PH,broad_diagnosis,0,0,0,0
肺动脉高压,遗传性肺动脉高压,DIS-CARD-PH-HPAH,clinical_subtype,0,0,0,0
血脂异常与动脉粥样硬化防治,家族性高胆固醇血症,DIS-CARD-FH,independent_disease,0,0,0,0
血脂异常与动脉粥样硬化防治,血脂异常,DIS-CARD-DYSLIPIDEMIA,independent_disease,0,0,0,0
血脂异常与动脉粥样硬化防治,高胆固醇血症,DIS-CARD-HYPERCHOLESTEROLEMIA,independent_disease,0,0,0,0
起搏治疗相关疾病,一度房室传导阻滞,DIS-CARD-ARR-AVB1,independent_disease,4,3,0,3
起搏治疗相关疾病,三度房室传导阻滞,DIS-CARD-ARR-AVB3,independent_disease,4,3,0,3
起搏治疗相关疾病,二度房室传导阻滞,DIS-CARD-ARR-AVB2,independent_disease,4,3,0,3
起搏治疗相关疾病,房室传导阻滞,DIS-CARD-ARR-AVB,independent_disease,4,3,0,3
起搏治疗相关疾病,束支传导阻滞,DIS-CARD-ARR-BBB,independent_disease,4,3,0,3
起搏治疗相关疾病,窦性心动过缓,DIS-CARD-ARR-SB,independent_disease,4,3,0,3
起搏治疗相关疾病,窦房传导阻滞,DIS-CARD-ARR-SAB,independent_disease,4,3,0,3
起搏治疗相关疾病,窦房结功能障碍,DIS-CARD-ARR-SND,independent_disease,4,3,0,3
起搏治疗相关疾病,缓慢性心律失常,DIS-CARD-ARR-BRADY,independent_disease,4,3,0,3
高血压,主动脉缩窄,DIS-CARD-HTN-COA,independent_disease,0,0,0,0
高血压,内分泌性高血压,DIS-CARD-HT-ENDOCRINE,clinical_subtype,3,2,0,2
高血压,原发性醛固酮增多症,DIS-CARD-HT-PA,independent_disease,3,2,0,2
高血压,原发性高血压,DIS-CARD-HT-PRIMARY,clinical_subtype,4,2,0,2
高血压,发作性高血压,DIS-CARD-HT-PAROXYSMAL,clinical_subtype,3,3,0,3
高血压,嗜铬细胞瘤和副神经节瘤,DIS-CARD-HTN-PHEO,independent_disease,0,0,0,0
高血压,慢性肾脏病合并高血压,DIS-CARD-HT-CKD,clinical_subtype,3,2,0,2
高血压,白大衣高血压,DIS-CARD-HT-WCH,clinical_subtype,3,2,0,2
高血压,继发性高血压,DIS-CARD-HT-SECONDARY,clinical_subtype,4,2,0,2
高血压,老年高血压,DIS-CARD-HT-ELDERLY,clinical_subtype,3,2,0,2
高血压,肾实质性高血压,DIS-CARD-HT-RENAL-PARENCHYMAL,clinical_subtype,3,2,0,2
高血压,肾血管性高血压,DIS-CARD-HT-RENOVASCULAR,clinical_subtype,3,2,0,2
高血压,隐匿性高血压,DIS-CARD-HT-MASKED,clinical_subtype,3,2,0,2
高血压,难治性高血压,DIS-CARD-HT-RESISTANT,clinical_subtype,4,2,0,2
高血压,高血压,DIS-CARD-HT,broad_diagnosis,4,2,27,29
高血压,高血压亚急症,DIS-CARD-HT-URGENCY,clinical_subtype,3,2,0,2
高血压,高血压急症,DIS-CARD-HT-EMERGENCY,clinical_subtype,4,2,0,2
高血压,高血压急症和亚急症,DIS-CARD-HTN-EMERGENCY,independent_disease,0,0,0,0
