CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
疑似疾病识别,5,Symptom、Sign,0,左心衰竭,,DIS-CARD-HF-LEFT,可用于CDSS展示,140
诊断建议,6,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,左心衰竭,,DIS-CARD-HF-LEFT,可用于CDSS展示,140
鉴别诊断,0,DifferentialDiagnosis,0,左心衰竭,,DIS-CARD-HF-LEFT,缺口,140
推荐检查,3,Exam、ExamIndicator,0,左心衰竭,,DIS-CARD-HF-LEFT,可用于CDSS展示,140
推荐检验,0,LabTest、LabTestIndicator,0,左心衰竭,,DIS-CARD-HF-LEFT,缺口,140
风险分层,0,RiskStratification,0,左心衰竭,,DIS-CARD-HF-LEFT,缺口,140
治疗方案,1,TreatmentPlan、RecommendationStatement,0,左心衰竭,,DIS-CARD-HF-LEFT,可展示但需补强,140
药物推荐,4,Medication,0,左心衰竭,,DIS-CARD-HF-LEFT,可用于CDSS展示,140
手术/操作推荐,0,Procedure,0,左心衰竭,,DIS-CARD-HF-LEFT,缺口,140
禁忌与风险预警,4,Contraindication、ClinicalRule,0,左心衰竭,,DIS-CARD-HF-LEFT,可用于CDSS展示,140
随访,2,FollowUp,0,左心衰竭,,DIS-CARD-HF-LEFT,可展示但需补强,140
预后/预防,1,Prognosis、Prevention,0,左心衰竭,,DIS-CARD-HF-LEFT,可展示但需补强,140
并发症管理,1,Complication,0,左心衰竭,,DIS-CARD-HF-LEFT,可展示但需补强,140
疑似疾病识别,38,Symptom、Sign,0,心力衰竭,,DIS-CARD-HF,可用于CDSS展示,3051
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,心力衰竭,,DIS-CARD-HF,可用于CDSS展示,3051
鉴别诊断,5,DifferentialDiagnosis,0,心力衰竭,,DIS-CARD-HF,可用于CDSS展示,3051
推荐检查,11,Exam、ExamIndicator,0,心力衰竭,,DIS-CARD-HF,可用于CDSS展示,3051
推荐检验,9,LabTest、LabTestIndicator,0,心力衰竭,,DIS-CARD-HF,可用于CDSS展示,3051
