disease_code,disease,plan_code,plan_name,relation,target_code,target_name,source,status
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_medication,CARD-SKELETON-20260709-MEDICATION-09DFB5E0DF9F68B9,血管紧张素II受体拮抗剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_medication,MED-BETA-BLOCKER,β受体阻滞剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_medication,MED-CARD-TEXT-B905AF3E59,血管紧张素Ⅱ受体拮抗剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_medication,MED-CARD-TEXT-93710567D3,洋地黄类药物,疾病既有药物治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_medication,MED-CARD-E40082221530,血管紧张素转换酶抑制剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_medication,MED-CARD-TEXT-EE219280A7,抗凝药物,疾病既有药物治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_medication,MED-CARD-TEXT-4E1713BBBA,醛固酮受体拮抗剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_procedure,PROC-ICD,埋藏式心脏复律除颤器,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_procedure,CARD-SKELETON-20260709-PROCEDURE-B59B1385BA9A601D,植入型心律转复除颤器,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_procedure,CARD-SKELETON-20260709-PROCEDURE-3B8C0A206F202C65,起搏器,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_procedure,PROC-HEART-TRANSPLANT,心脏移植,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_procedure,PROC-CARD-TEXT-D2C1F9E289,心脏再同步治疗,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,includes_procedure,PROC-CARD-TEXT-D9A9D30763,植入式心律转复除颤器,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,has_treatment_component,PLAN-CARD-TEXT-BDE62A3BE0,降压治疗,路径既有子治疗方案,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,has_treatment_component,PLAN-CARD-A1C4E6332D38,抗凝治疗,路径既有子治疗方案,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,has_treatment_component,PLAN-CARD-TEXT-655F4B37BC,控制心室率,路径既有子治疗方案,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,has_treatment_component,PLAN-CARD-A1C4E6332D38,抗凝治疗,路径既有子治疗方案,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,has_treatment_component,PLAN-CARD-TEXT-655F4B37BC,控制心室率,路径既有子治疗方案,linked
DIS-CARD-CM-DCM,扩张型心肌病,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,has_treatment_component,PLAN-CARD-TEXT-BDE62A3BE0,降压治疗,路径既有子治疗方案,linked
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,includes_medication,MED-BETA-BLOCKER,β受体阻滞剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,includes_medication,MED-CARD-TEXT-28E925C6DE,钙通道阻滞剂,疾病既有药物治疗关系,linked
