disease_code,disease_name,entity_type,evidence_levels,evidence_texts,guideline_names,node_code,node_name,pages,recommendation_levels
DIS-CARD-VHD-AS,主动脉瓣狭窄,Procedure,[],[],[],PROC-CARD-TEXT-6248D2A735,瓣膜置换术,[],[]
DIS-CARD-VHD-AS,主动脉瓣狭窄,Procedure,[],[],[],PROC-CARD-TEXT-53ECAA23AE,经导管主动脉瓣置换术,[],[]
DIS-CARD-VHD-AS,主动脉瓣狭窄,Procedure,[],[],[],PROC-CARD-E9ADC25A25E3,经皮冠状动脉介入治疗,[],[]
DIS-CARD-VHD-AS,主动脉瓣狭窄,TreatmentPlan,[],[],[],PLAN-CARD-TEXT-655F4B37BC,控制心室率,[],[]
DIS-CARD-VHD-AS,主动脉瓣狭窄,TreatmentPlan,[],[],[],PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,[],[]
DIS-CARD-VHD-AS,主动脉瓣狭窄,TreatmentPlan,[],[],[],PLAN-CARD-TEXT-BDE62A3BE0,降压治疗,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,ClinicalRule,[],[],[],CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-436D17245A489BAE,超声心动图有助于鉴别生理性杂音、三尖瓣反流、室间隔缺损、左心室或右心室流出道梗阻等,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,Medication,[],[],[],CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,Medication,[],[],[],MED-DIURETIC,利尿剂,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,Medication,[],[],[],MED-CARD-TEXT-EE219280A7,抗凝药物,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,Medication,[],[],[],MED-CARD-TEXT-4E798D0AB2,抗血小板药物,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,Medication,[],[],[],MED-CARD-TEXT-93710567D3,洋地黄类药物,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,Medication,[],[],[],MED-CARD-55157DA54154,硝酸酯类药物,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,Medication,[],[],[],CARD-SKELETON-20260709-MEDICATION-09DFB5E0DF9F68B9,血管紧张素II受体拮抗剂,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,Medication,[],[],[],MED-CARD-TEXT-B905AF3E59,血管紧张素Ⅱ受体拮抗剂,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,Medication,[],[],[],MED-CARD-C015B7A5655A,血管紧张素Ⅱ受体阻滞剂,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,Medication,[],[],[],MED-CARD-5C774D10CF46,血管紧张素受体脑啡肽酶抑制剂,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,Medication,[],[],[],MED-CARD-E40082221530,血管紧张素转换酶抑制剂,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,Medication,[],[],[],CARD-SKELETON-20260709-MEDICATION-7887433A96437926,血管紧张素转换酶抑制剂或血管紧张素受体阻滞剂,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,Medication,[],[],[],MED-CARD-TEXT-4E1713BBBA,醛固酮受体拮抗剂,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,Medication,[],[],[],MED-CARD-TEXT-28E925C6DE,钙通道阻滞剂,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,Procedure,[],[],[],CARD-SKELETON-20260709-PROCEDURE-FA9CF9F5BBDD3E3D,外科手术,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,Procedure,[],[],[],PROC-CARD-TEXT-D2C1F9E289,心脏再同步治疗,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,Procedure,[],[],[],PROC-CARD-TEXT-6248D2A735,瓣膜置换术,[],[]
