adj_code,rec_code,category,rel_count
SRCADJ-CARD-BULK-48A223E39AAA18D7,REC-A5CAC0416D92A2AA,心肌病,8
SRCADJ-CARD-BULK-151B6F60891491F6,REC-7023A88D54CE1E7A,心肌病,8
SRCADJ-CARD-BULK-1059F0B5687CCAB9,REC-D19E6F17DCA205FA,心肌病,8
SRCADJ-CARD-BULK-59FA3EF8F9FF4F82,REC-484D25F1C92C158A,心律失常,8
SRCADJ-CARD-BULK-F25DC294A8CEE457,REC-889219A91D901ABE,心律失常,8
SRCADJ-CARD-BULK-C41D3C90C0C5099A,REC-0D8FA636CC44E581,心律失常,8
SRCADJ-CARD-BULK-B3F1B034E5BA0BF6,REC-8D3DA974E45CCA0F,心律失常,8
SRCADJ-CARD-BULK-3EA7D9D12F22E06E,REC-1CEE0915FBC45FD4,心律失常,8
SRCADJ-CARD-BULK-54342AF5FC11848C,REC-9F823F90559ECCF3,心力衰竭,8
SRCADJ-CARD-BULK-58DED45172A0C21E,REC-C1D5CCF1279C3898,心力衰竭,8
SRCADJ-CARD-BULK-A2B50359F1D9FA0B,REC-B61ED54E49D45183,心力衰竭,8
SRCADJ-CARD-BULK-0426ECD40C7A413A,REC-7037AAEFC3CB6A26,心力衰竭,8
SRCADJ-CARD-BULK-ABFB4167B8E475BD,REC-D5C5AFD6B636E261,心力衰竭,8
SRCADJ-CARD-BULK-4211EEB3E0E31D55,REC-74F2A04354313970,心律失常,8
SRCADJ-CARD-BULK-E2723BC72EDA587B,REC-B28448660D0D2E36,心律失常,8
SRCADJ-CARD-BULK-7C96614249C36706,REC-994014382D7E13EF,心律失常,8
SRCADJ-CARD-BULK-8F1BAFF8BEBEA812,REC-DFA59E1519BA0EE9,心律失常,8
SRCADJ-CARD-BULK-B0B63854C69DA451,REC-5BAA719A38F2A2C8,冠心病,8
SRCADJ-CARD-BULK-391F5760D56258FA,REC-D96FA074667FD3D0,冠心病,8
SRCADJ-CARD-BULK-9C3363FFD0B1D696,REC-97B3C9C811ECEB2E,冠心病,8
SRCADJ-CARD-BULK-66C7BBC63F61BB35,REC-34AFE54CFB0F02B9,冠心病,8
SRCADJ-CARD-BULK-EAEF23ED454E5DCD,REC-B3B32FFED9AE1D4A,冠心病,8
SRCADJ-CARD-BULK-C2FF5F68A897C7B8,REC-8EFAF865AE874832,心律失常,8
SRCADJ-CARD-BULK-AAF1610B8300347D,REC-B17137D31E68F0CD,心律失常,8
SRCADJ-CARD-BULK-F2E0033F15B2D10D,REC-6F715C192707537E,心律失常,8
SRCADJ-CARD-BULK-61DED28FB548867D,REC-EECDA2166B54C412,心肌病,8
