after_duplicate_relation_count,after_keep_relation_count,apply,before_duplicate_relation_count,before_keep_relation_count,duplicate_code,evidence_text_length,group_index,group_node_count,group_total_relation_count,incoming_relation_count,keep_code,outgoing_relation_count,source_name,source_page
1,1,false,1,1,EVD-CARD-FULLBOOK-CD0673D1FE201F,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-9E5C197B26FD18,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-0C76383E1E3A0C,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-6D9421990DA1D3,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-DFDB9B3CA19053,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-84DCB16C1DB2B8,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-F32CD58DA230D6,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-278541C3C6BDB8,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-00B001DD106759,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-D675DFEF19BC39,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-BED59B66F5B82E,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-075041FCC8F32D,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-588392AC08D7CC,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-BE97DA3E7C63BA,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-A8161C1BEF29F0,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-2C9CEEC4669F1D,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-A2E83892600F89,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-1B96C82F7B1988,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-1F194219DADCCB,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-120DB2EF36751C,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-36BE810C9B05A6,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-C4092D41401EEB,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-50B571E5D646E2,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-A857DB2656CD83,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-01CFC267DC7A67,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-40CB18B348A933,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-1E06FF2D97F7A4,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-B1467229C56903,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-BCC5EE19AA2596,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-1131798CB4BE35,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-16EB42D86F35DF,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-90B3330764EB65,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-F622B4CB35EC40,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-0B01C7BB8C0268,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-EF518BE6D3EEDE,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-0D05F2C240DF56,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-5774C5314A6F50,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-D3313B3EA03E83,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-5B6B3BE3A060D6,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-D945324CB52B28,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-AC5470053A0B0A,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
1,1,false,1,1,EVD-CARD-FULLBOOK-28B8FA34973E07,861,2,104,,1,EVD-CARD-FULLBOOK-644CBD55A70B89,0,《内科学（第10版）》docx,N/A
