disease_code,disease,status,clinical_rule_without_evidence,treatment_plan_without_action,diagnosis_without_component,differential_without_detail,same_type_same_name_duplicates,non_kgnode
DIS-CARD-HF-RIGHT,右心衰竭,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HT,高血压,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HT-CKD,慢性肾脏病合并高血压,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HT-ELDERLY,老年高血压,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HT-EMERGENCY,高血压急症,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HT-ENDOCRINE,内分泌性高血压,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HT-MASKED,隐匿性高血压,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HT-PA,原发性醛固酮增多症,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HT-PAROXYSMAL,发作性高血压,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HT-PRIMARY,原发性高血压,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HT-RENAL-PARENCHYMAL,肾实质性高血压,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HT-RENOVASCULAR,肾血管性高血压,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HT-RESISTANT,难治性高血压,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HT-SECONDARY,继发性高血压,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HT-URGENCY,高血压亚急症,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HT-WCH,白大衣高血压,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HTN-COA,主动脉缩窄,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HTN-EMERGENCY,高血压急症和亚急症,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HTN-ESSENTIAL,原发性高血压,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HTN-PA,原发性醛固酮增多症,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HTN-PHEO,嗜铬细胞瘤和副神经节瘤,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HTN-RENAL-PARENCHYMAL,肾实质性高血压,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HTN-RENOVASCULAR,肾血管性高血压,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HTN-SECONDARY,继发性高血压,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-SCD-ARREST,心脏骤停,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-SCD-SUDDEN,心脏性猝死,formal_cdss_ready,0,0,0,0,0,0
