scope,disease_code,disease,plan_code,plan_name,relation,target_code,target_name,status
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_medication,MED-CARD-0D88ECB6525C,普罗帕酮,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_medication,MED-CARD-93C891C2079D,硫酸镁,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_medication,MED-BETA-BLOCKER,β受体阻滞剂,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_medication,MED-CARD-91B9687BBE00,利多卡因,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_medication,MED-CARD-CA961D8A62E7,钾剂,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_medication,MED-CARD-73E3BE4E64BB,抗心律失常药物,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_medication,MED-CARD-74936DD4D485,奎尼丁,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_medication,MED-CARD-DAE0F0B68F1D,他汀类药物,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_medication,MED-CARD-TEXT-28E925C6DE,钙通道阻滞剂,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_medication,MED-AMIODARONE,胺碘酮,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_medication,MED-CARD-TEXT-93710567D3,洋地黄类药物,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_procedure,PROC-CARD-TEXT-D2C1F9E289,心脏再同步治疗,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_procedure,CARD-SKELETON-20260709-PROCEDURE-B59B1385BA9A601D,植入型心律转复除颤器,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_procedure,PROC-CARD-6CC6BC610CAE,电除颤,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_procedure,PROC-CARD-BA093052CBC6,导管消融,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_procedure,PROC-CARD-36488EFD8194,同步电复律,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_procedure,PROC-CARD-6A8C8F96D8A0,心肺复苏,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_procedure,PROC-CARD-5F23E250AADD,埋藏式心脏转复除颤器,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_procedure,PROC-CARD-E9ADC25A25E3,经皮冠状动脉介入治疗,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_procedure,PROC-CARD-TEXT-23F5CDA89B,起搏器植入,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_procedure,PROC-CARD-TEXT-D9A9D30763,植入式心律转复除颤器,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,抗心律失常药物,includes_procedure,PROC-CARD-TEXT-84551F84B4,射频消融术,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-B76F8B1E24A603E8,特别是引起QT间期延长与尖端扭转型室速的药物,includes_medication,MED-CARD-55157DA54154,硝酸酯类药物,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-B76F8B1E24A603E8,特别是引起QT间期延长与尖端扭转型室速的药物,includes_medication,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-B76F8B1E24A603E8,特别是引起QT间期延长与尖端扭转型室速的药物,includes_medication,MED-CARD-F50DC811465A,索他洛尔,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-B76F8B1E24A603E8,特别是引起QT间期延长与尖端扭转型室速的药物,includes_medication,MED-CARD-C9175F150C3D,美托洛尔,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-B76F8B1E24A603E8,特别是引起QT间期延长与尖端扭转型室速的药物,includes_medication,MED-CARD-0D88ECB6525C,普罗帕酮,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-B76F8B1E24A603E8,特别是引起QT间期延长与尖端扭转型室速的药物,includes_medication,MED-CARD-93C891C2079D,硫酸镁,linked
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-TREATMENTPLAN-B76F8B1E24A603E8,特别是引起QT间期延长与尖端扭转型室速的药物,includes_medication,MED-BETA-BLOCKER,β受体阻滞剂,linked
