疾病大类,疾病编码,疾病名称,诊断角色,父级疾病,下级分型数,标准诊断状态,标准诊断说明,定义,症状,体征,危险因素,并发症,检查项目,检验项目,检查发现,检验细项,诊断标准,诊断明细,鉴别诊断,鉴别规则,风险分层,治疗方案,药物动作,手术/操作动作,其他治疗动作,随访,预后,预防,证据,指南,正式推荐,硬缺口,提醒
心力衰竭,DIS-CARD-HF-HFmrEF,射血分数轻度降低的心力衰竭,clinical_subtype,DIS-CARD-HF-GENERAL,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,2,2,0,1,0,0,10,2,2,4,0,0,0,1,6,0,0,2,1,0,36,8,3,,分型缺检查/检验项目
心力衰竭,DIS-CARD-HF-HFrEF,射血分数降低的心力衰竭,clinical_subtype,DIS-CARD-HF-GENERAL,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,3,2,0,1,0,0,10,2,2,4,0,0,0,1,7,0,0,2,1,0,147,12,3,,分型缺检查/检验项目
心力衰竭,DIS-CARD-HF-LEFT,左心衰竭,independent_disease,,0,通过,存在精确标准诊断：左心衰竭(STDDX-003709945bb07a417e7946a1750a9ea4),1,3,2,0,1,0,0,10,2,2,4,0,0,0,1,4,0,0,2,1,0,140,8,3,,分型缺检查/检验项目
心力衰竭,DIS-CARD-HF-GENERAL,心力衰竭,broad_diagnosis,,8,通过,存在精确标准诊断：心力衰竭(STDDX-db94a5333fd9453dacae2eade4e74c1e),1,20,18,8,10,0,0,53,9,1,3,5,12,1,3,10,7,1,1,1,0,2090,19,0,,暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
心力衰竭,DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭,clinical_subtype,DIS-CARD-HF-GENERAL,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,3,2,0,1,0,0,10,2,2,4,0,0,0,1,3,0,0,2,1,0,27,1,3,,分型缺检查/检验项目
心力衰竭,DIS-CARD-HF-AHF,急性心力衰竭,clinical_subtype,DIS-CARD-HF-GENERAL,0,通过,存在精确标准诊断：急性心力衰竭(STDDX-34f03d2c54e501d0d005e115626507f6),1,17,14,6,6,0,0,10,4,2,5,0,0,3,2,13,1,1,2,1,0,154,12,4,,分型缺检查/检验项目
心力衰竭,DIS-CARD-HF-CHF,慢性心力衰竭,clinical_subtype,DIS-CARD-HF-GENERAL,0,通过,存在精确标准诊断：慢性心力衰竭(STDDX-a038aa718b8e2c158984f6d18163a41b),1,13,16,5,5,0,0,46,7,2,4,0,0,1,1,15,4,0,2,1,0,190,13,3,,分型缺检查/检验项目
心力衰竭,DIS-CARD-HF-DIALYSIS-CHF,透析患者慢性心力衰竭,clinical_subtype,DIS-CARD-HF-GENERAL,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,3,2,0,1,0,0,10,2,2,4,0,0,0,1,4,0,0,2,1,0,21,1,3,,分型缺检查/检验项目
心包疾病,DIS-CARD-PERICARDITIS,心包炎,broad_diagnosis,,2,通过,存在精确标准诊断：心包炎(STDDX-6c9c77a1c30846e40eb258801d191d0d),1,10,9,5,7,0,0,36,9,1,32,3,18,1,1,1,3,0,1,1,0,140,7,0,,暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
心包疾病,DIS-CARD-PERICARD-EFFUSION,心包积液及心脏压塞,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,16,20,7,9,0,0,56,9,0,0,0,0,0,2,7,4,1,5,5,5,181,0,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
心包疾病,DIS-CARD-PERICARD-ACUTE,急性心包炎,clinical_subtype,DIS-CARD-PERICARDITIS,0,通过,存在精确标准诊断：急性心包炎(STDDX-0245ad1a5fbed5a0c6b96284a817fec3),1,10,3,6,5,0,0,40,9,0,0,0,0,0,1,3,0,0,5,5,5,49,0,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
心包疾病,DIS-CARD-PERICARD-CONSTRICTIVE,缩窄性心包炎,clinical_subtype,DIS-CARD-PERICARDITIS,0,通过,存在精确标准诊断：缩窄性心包炎(STDDX-6c538096e753c63cf1da32578b3adb82),1,10,16,6,8,0,0,47,7,0,0,0,0,0,1,1,2,0,7,7,7,91,0,0,,分型缺检查/检验项目；暂无正式CDSS推荐陈述；可展示知识，不能进入正式推荐区
