CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
随访,0,FollowUp,0,心肌梗死后综合征,,DIS-CARD-CAD-POST-MI-SYNDROME,缺口,19
预后/预防,0,Prognosis、Prevention,0,心肌梗死后综合征,,DIS-CARD-CAD-POST-MI-SYNDROME,缺口,19
并发症管理,2,Complication,0,心肌梗死后综合征,,DIS-CARD-CAD-POST-MI-SYNDROME,可展示但需补强,19
疑似疾病识别,27,Symptom、Sign,0,急性冠脉综合征,,DIS-CARD-CAD-ACS,可用于CDSS展示,1557
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,急性冠脉综合征,,DIS-CARD-CAD-ACS,可用于CDSS展示,1557
鉴别诊断,4,DifferentialDiagnosis,0,急性冠脉综合征,,DIS-CARD-CAD-ACS,可用于CDSS展示,1557
推荐检查,10,Exam、ExamIndicator,0,急性冠脉综合征,,DIS-CARD-CAD-ACS,可用于CDSS展示,1557
推荐检验,10,LabTest、LabTestIndicator,0,急性冠脉综合征,,DIS-CARD-CAD-ACS,可用于CDSS展示,1557
风险分层,1,RiskStratification,0,急性冠脉综合征,,DIS-CARD-CAD-ACS,可展示但需补强,1557
治疗方案,8,TreatmentPlan、RecommendationStatement,0,急性冠脉综合征,,DIS-CARD-CAD-ACS,可用于CDSS展示,1557
药物推荐,15,Medication,0,急性冠脉综合征,,DIS-CARD-CAD-ACS,可用于CDSS展示,1557
手术/操作推荐,6,Procedure,0,急性冠脉综合征,,DIS-CARD-CAD-ACS,可用于CDSS展示,1557
禁忌与风险预警,4,Contraindication、ClinicalRule,0,急性冠脉综合征,,DIS-CARD-CAD-ACS,可用于CDSS展示,1557
随访,1,FollowUp,0,急性冠脉综合征,,DIS-CARD-CAD-ACS,可展示但需补强,1557
预后/预防,1,Prognosis、Prevention,0,急性冠脉综合征,,DIS-CARD-CAD-ACS,可展示但需补强,1557
并发症管理,9,Complication,0,急性冠脉综合征,,DIS-CARD-CAD-ACS,可用于CDSS展示,1557
疑似疾病识别,48,Symptom、Sign,0,急性心肌梗死,,DIS-CARD-CAD-AMI,可用于CDSS展示,1780
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,急性心肌梗死,,DIS-CARD-CAD-AMI,可用于CDSS展示,1780
