disease_code,disease_name,pathway_element,applicability_status,coverage_status,evidence_count,source_names,missing_reason,solution
DIS-CARD-VHD-TR,三尖瓣反流,symptom,required,covered,172,,,
DIS-CARD-VHD-TR,三尖瓣反流,sign,required,covered,172,,,
DIS-CARD-VHD-TR,三尖瓣反流,exam,required,covered,172,,,
DIS-CARD-VHD-TR,三尖瓣反流,lab_test,optional,covered,172,,,
DIS-CARD-VHD-TR,三尖瓣反流,threshold_rule,optional,missing,172,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-TR,三尖瓣反流,diagnosis_criteria,required,covered,172,,,
DIS-CARD-VHD-TR,三尖瓣反流,differential_diagnosis,optional,missing,172,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-TR,三尖瓣反流,risk_stratification,optional,covered,172,,,
DIS-CARD-VHD-TR,三尖瓣反流,treatment_plan,required,covered,172,,,
DIS-CARD-VHD-TR,三尖瓣反流,medication,optional,missing,172,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-TR,三尖瓣反流,procedure,optional,covered,172,,,
DIS-CARD-VHD-TR,三尖瓣反流,complication,required,covered,172,,,
DIS-CARD-VHD-TR,三尖瓣反流,prognosis,required,covered,172,,,
DIS-CARD-VHD-TR,三尖瓣反流,follow_up,required,covered,172,,,
DIS-CARD-VHD-TR,三尖瓣反流,guideline,required,covered,172,,,
DIS-CARD-VHD-TR,三尖瓣反流,evidence,required,covered,172,,,
