disease_code,disease_name,pathway_element,applicability_status,coverage_status,evidence_count,source_names,missing_reason,solution
DIS-CARD-VHD-PS,肺动脉瓣狭窄,pathophysiology,optional,missing,36,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-PS,肺动脉瓣狭窄,epidemiology,optional,missing,36,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-PS,肺动脉瓣狭窄,risk_factor,optional,covered,36,,,
DIS-CARD-VHD-PS,肺动脉瓣狭窄,symptom,required,covered,36,,,
DIS-CARD-VHD-PS,肺动脉瓣狭窄,sign,required,covered,36,,,
DIS-CARD-VHD-PS,肺动脉瓣狭窄,exam,required,covered,36,,,
DIS-CARD-VHD-PS,肺动脉瓣狭窄,lab_test,optional,covered,36,,,
DIS-CARD-VHD-PS,肺动脉瓣狭窄,threshold_rule,optional,missing,36,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-PS,肺动脉瓣狭窄,diagnosis_criteria,required,covered,36,,,
DIS-CARD-VHD-PS,肺动脉瓣狭窄,differential_diagnosis,optional,covered,36,,,
DIS-CARD-VHD-PS,肺动脉瓣狭窄,risk_stratification,optional,covered,36,,,
DIS-CARD-VHD-PS,肺动脉瓣狭窄,treatment_plan,required,covered,36,,,
DIS-CARD-VHD-PS,肺动脉瓣狭窄,medication,optional,missing,36,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-PS,肺动脉瓣狭窄,procedure,optional,covered,36,,,
DIS-CARD-VHD-PS,肺动脉瓣狭窄,complication,required,covered,36,,,
DIS-CARD-VHD-PS,肺动脉瓣狭窄,prognosis,required,covered,36,,,
DIS-CARD-VHD-PS,肺动脉瓣狭窄,follow_up,required,covered,36,,,
DIS-CARD-VHD-PS,肺动脉瓣狭窄,guideline,required,covered,36,,,
DIS-CARD-VHD-PS,肺动脉瓣狭窄,evidence,required,covered,36,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,definition,required,covered,27,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,aliases,optional,covered,27,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,etiology,required,covered,27,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,pathophysiology,optional,covered,27,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,epidemiology,optional,missing,27,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,risk_factor,optional,covered,27,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,symptom,required,covered,27,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,sign,required,covered,27,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,exam,required,covered,27,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,lab_test,optional,covered,27,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,threshold_rule,optional,missing,27,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,diagnosis_criteria,required,covered,27,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,differential_diagnosis,optional,covered,27,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,risk_stratification,optional,missing,27,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,treatment_plan,required,covered,27,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,medication,optional,covered,27,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,procedure,optional,covered,27,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,complication,required,covered,27,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,prognosis,required,covered,27,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,follow_up,required,covered,27,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,guideline,required,covered,27,,,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,evidence,required,covered,27,,,
DIS-CARD-VHD-TR,三尖瓣反流,definition,required,covered,172,,,
DIS-CARD-VHD-TR,三尖瓣反流,aliases,optional,covered,172,,,
DIS-CARD-VHD-TR,三尖瓣反流,etiology,required,covered,172,,,
DIS-CARD-VHD-TR,三尖瓣反流,pathophysiology,optional,covered,172,,,
DIS-CARD-VHD-TR,三尖瓣反流,epidemiology,optional,missing,172,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-TR,三尖瓣反流,risk_factor,optional,covered,172,,,
