CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
推荐检验,0,LabTest、LabTestIndicator,0,肾血管性高血压,,DIS-CARD-HT-RENOVASCULAR,缺口,19
风险分层,0,RiskStratification,0,肾血管性高血压,,DIS-CARD-HT-RENOVASCULAR,缺口,19
治疗方案,1,TreatmentPlan、RecommendationStatement,0,肾血管性高血压,,DIS-CARD-HT-RENOVASCULAR,可展示但需补强,19
药物推荐,2,Medication,0,肾血管性高血压,,DIS-CARD-HT-RENOVASCULAR,可展示但需补强,19
手术/操作推荐,0,Procedure,0,肾血管性高血压,,DIS-CARD-HT-RENOVASCULAR,缺口,19
禁忌与风险预警,3,Contraindication、ClinicalRule,0,肾血管性高血压,,DIS-CARD-HT-RENOVASCULAR,可用于CDSS展示,19
随访,1,FollowUp,0,肾血管性高血压,,DIS-CARD-HT-RENOVASCULAR,可展示但需补强,19
预后/预防,1,Prognosis、Prevention,0,肾血管性高血压,,DIS-CARD-HT-RENOVASCULAR,可展示但需补强,19
并发症管理,3,Complication,0,肾血管性高血压,,DIS-CARD-HT-RENOVASCULAR,可用于CDSS展示,19
疑似疾病识别,2,Symptom、Sign,0,肾血管性高血压,,DIS-CARD-HTN-RENOVASCULAR,可展示但需补强,80
诊断建议,0,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,肾血管性高血压,,DIS-CARD-HTN-RENOVASCULAR,缺口,80
鉴别诊断,0,DifferentialDiagnosis,0,肾血管性高血压,,DIS-CARD-HTN-RENOVASCULAR,缺口,80
推荐检查,3,Exam、ExamIndicator,0,肾血管性高血压,,DIS-CARD-HTN-RENOVASCULAR,可用于CDSS展示,80
推荐检验,2,LabTest、LabTestIndicator,0,肾血管性高血压,,DIS-CARD-HTN-RENOVASCULAR,可展示但需补强,80
风险分层,0,RiskStratification,0,肾血管性高血压,,DIS-CARD-HTN-RENOVASCULAR,缺口,80
治疗方案,2,TreatmentPlan、RecommendationStatement,0,肾血管性高血压,,DIS-CARD-HTN-RENOVASCULAR,可展示但需补强,80
药物推荐,3,Medication,0,肾血管性高血压,,DIS-CARD-HTN-RENOVASCULAR,可用于CDSS展示,80
手术/操作推荐,0,Procedure,0,肾血管性高血压,,DIS-CARD-HTN-RENOVASCULAR,缺口,80
禁忌与风险预警,0,Contraindication、ClinicalRule,0,肾血管性高血压,,DIS-CARD-HTN-RENOVASCULAR,缺口,80
随访,0,FollowUp,0,肾血管性高血压,,DIS-CARD-HTN-RENOVASCULAR,缺口,80
预后/预防,0,Prognosis、Prevention,0,肾血管性高血压,,DIS-CARD-HTN-RENOVASCULAR,缺口,80
并发症管理,3,Complication,0,肾血管性高血压,,DIS-CARD-HTN-RENOVASCULAR,可用于CDSS展示,80
疑似疾病识别,2,Symptom、Sign,0,隐匿性高血压,,DIS-CARD-HT-MASKED,可展示但需补强,42
诊断建议,4,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,隐匿性高血压,,DIS-CARD-HT-MASKED,可用于CDSS展示,42
鉴别诊断,0,DifferentialDiagnosis,0,隐匿性高血压,,DIS-CARD-HT-MASKED,缺口,42
推荐检查,4,Exam、ExamIndicator,0,隐匿性高血压,,DIS-CARD-HT-MASKED,可用于CDSS展示,42
推荐检验,2,LabTest、LabTestIndicator,0,隐匿性高血压,,DIS-CARD-HT-MASKED,可展示但需补强,42
