code,duplicate_replaced_by,entity_type,name,node_element_id,relation_count
MED-CARD-55157DA54154,MED-CARD-55157DA54154,Medication,硝酸酯类药物,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25612,214
MED-CARD-STD-1691342E51,MED-CARD-C9175F150C3D,Medication,美托洛尔,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43736,183
CARD-SKELETON-20260709-SYMPTOM-E201291B32C71911,CARD-SKELETON-20260709-SYMPTOM-E201291B32C71911,Symptom,心绞痛,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:37059,166
SIGN-CARD-37D71F7E64B1,SIGN-CARD-37D71F7E64B1,Sign,颈静脉怒张,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25764,162
SIGN-CARD-67CD9C4673B0,SIGN-CARD-67CD9C4673B0,Sign,肺部啰音,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25766,145
MED-CARD-STD-DE220086E9,MED-CARD-CC1DDBE4EFA8,Medication,硝酸甘油,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43740,135
LAB-CARD-C59B64C19ADD,LAB-CARD-C59B64C19ADD,LabTest,血脂,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:42844,125
SYM-CARD-3C54A8AA7CDB,SYM-CARD-3C54A8AA7CDB,Symptom,劳力性呼吸困难,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25784,122
EXAM-CARD-241B4B0218DF,EXAM-CARD-241B4B0218DF,Exam,运动负荷试验,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25504,121
PROC-CARD-DA0F467D4A30,PROC-CARD-DA0F467D4A30,Procedure,溶栓治疗,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25689,121
SIGN-CARD-TEXT-E67B99C5BD,SIGN-CARD-TEXT-E67B99C5BD,Sign,发绀,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25769,118
