序号,疾病大类,疾病编码,疾病名称,诊断角色,标准诊断编码,CDSS字典ID,标准身份状态,证据数,指南节点数,正式推荐数,正式推荐主来源数,教材来源名称,指南/PDF来源名称,页码/位置,缺口原因
76,起搏治疗相关疾病,DIS-CARD-ARR-BRADY,缓慢性心律失常,independent_disease,,,,292,6,3,2,内科学(第8版).docx,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,N/A；4,
77,心律失常,DIS-CARD-ARR-LQTS,长QT间期综合征,independent_disease,,,,103,5,4,1,,室性心律失常中国专家共识基层版.pdf,4；14；10；17,
78,心律失常,DIS-CARD-ARR-PSVT,阵发性室上性心动过速,clinical_subtype,,,,21,0,0,0,,,,指南来源为0；正式推荐为0
79,心律失常,DIS-CARD-ARR-NSVT,非持续性室性心动过速,independent_disease,,,,65,5,3,1,,室性心律失常中国专家共识基层版.pdf,4；5,
80,心律失常,DIS-CARD-ARR-WPW,预激综合征,independent_disease,,,,243,7,4,1,,室上性心动过速诊断及治疗中国专家共识(2021).pdf,29；37；36,
81,心肌病,DIS-CARD-CM-ATRIAL,心房心肌病,clinical_subtype,,,,5,4,2,1,,中国心肌病综合管理指南2025.pdf,29,
82,心肌病,DIS-CARD-MYOCARDITIS,心肌炎,broad_diagnosis,,,,599,7,0,0,,,,正式推荐为0
83,心肌病,DIS-CARD-CM-GENERAL,心肌病,broad_diagnosis,,,,201,1,0,0,,,,正式推荐为0
84,心肌病,DIS-CARD-CM-DCM,扩张型心肌病,clinical_subtype,,,,575,19,3,1,,中国心肌病综合管理指南2025.pdf,32；16,
85,心肌病,DIS-CARD-FULMINANT-MYOCARDITIS,暴发性心肌炎,clinical_subtype,,,,102,6,0,0,,,,正式推荐为0
86,心肌病,DIS-CARD-CM-FABRY,法布雷病心肌病,clinical_subtype,,,,10,2,2,1,,中国心肌病综合管理指南2025.pdf,22；5,
87,心肌病,DIS-CARD-CM-AMYLOID,淀粉样变心肌病,clinical_subtype,,,,69,11,2,1,,中国心肌病综合管理指南2025.pdf,26；9,
88,心肌病,DIS-CARD-CM-HCM,肥厚型心肌病,clinical_subtype,,,,817,20,4,1,,中国 成人肥厚型心肌病诊断与治疗指南2023.pdf,13；15；16,
89,心肌病,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,clinical_subtype,,,,9,2,2,1,,中国心肌病综合管理指南2025.pdf,18,
90,心肌病,DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,clinical_subtype,,,,303,12,2,1,,中国心肌病综合管理指南2025.pdf,20,
91,心肌病,DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,clinical_subtype,,,,27,5,2,1,,中国心肌病综合管理指南2025.pdf,20,
92,心肌病,DIS-CARD-CM-ACM,致心律失常性心肌病,clinical_subtype,,,,120,8,3,1,,中国心肌病综合管理指南2025.pdf,32；20,
93,心肌病,DIS-CARD-CM-RCM,限制型心肌病,clinical_subtype,,,,201,15,2,1,,中国心肌病综合管理指南2025.pdf,17；32,
94,心肌病,DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,clinical_subtype,,,,80,5,2,1,,ESC指南：心肌病的管理2023.pdf,66,
95,心脏瓣膜病,DIS-CARD-VHD-TR,三尖瓣反流,independent_disease,,,,172,5,0,0,,,,正式推荐为0
96,心脏瓣膜病,DIS-CARD-VHD-AR,主动脉瓣反流,independent_disease,,,,287,8,0,0,,,,正式推荐为0
97,心脏瓣膜病,DIS-CARD-VHD-MR,二尖瓣反流,independent_disease,,,,496,8,0,0,,,,正式推荐为0
98,心脏瓣膜病,DIS-CARD-VHD-MS,二尖瓣狭窄,independent_disease,,,,355,6,0,0,,,,正式推荐为0
99,心脏瓣膜病,DIS-CARD-VHD-MULTI,多瓣膜病,independent_disease,,,,24,3,0,0,,,,正式推荐为0
100,心脏瓣膜病,DIS-CARD-VHD,心脏瓣膜病,independent_disease,,,,459,12,0,0,,,,正式推荐为0
101,心脏瓣膜病,DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,independent_disease,,,,27,3,0,0,,,,正式推荐为0
102,感染性心内膜炎,DIS-CARD-IE-PVE,人工瓣膜心内膜炎,independent_disease,,,,41,0,0,0,,,,指南来源为0；正式推荐为0
103,感染性心内膜炎,DIS-CARD-INFECTIVE-ENDOCARDITIS,感染性心内膜炎,independent_disease,,,,500,6,0,0,,,,正式推荐为0
104,肺动脉高压,DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,clinical_subtype,,,,112,6,0,0,,,,正式推荐为0
105,肺动脉高压,DIS-CARD-PH-PAH,动脉性肺动脉高压,clinical_subtype,,,,426,7,0,0,,,,正式推荐为0
