CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
随访,1,FollowUp,0,室上性心动过速,,DIS-CARD-ARR-SVT,可展示但需补强,213
预后/预防,1,Prognosis、Prevention,0,室上性心动过速,,DIS-CARD-ARR-SVT,可展示但需补强,213
并发症管理,6,Complication,0,室上性心动过速,,DIS-CARD-ARR-SVT,可用于CDSS展示,213
疑似疾病识别,14,Symptom、Sign,0,室性心律失常,,DIS-CARD-ARR-VA,可用于CDSS展示,197
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,室性心律失常,,DIS-CARD-ARR-VA,可用于CDSS展示,197
鉴别诊断,0,DifferentialDiagnosis,0,室性心律失常,,DIS-CARD-ARR-VA,缺口,197
推荐检查,8,Exam、ExamIndicator,0,室性心律失常,,DIS-CARD-ARR-VA,可用于CDSS展示,197
推荐检验,2,LabTest、LabTestIndicator,0,室性心律失常,,DIS-CARD-ARR-VA,可展示但需补强,197
风险分层,1,RiskStratification,0,室性心律失常,,DIS-CARD-ARR-VA,可展示但需补强,197
治疗方案,5,TreatmentPlan、RecommendationStatement,0,室性心律失常,,DIS-CARD-ARR-VA,可用于CDSS展示,197
药物推荐,10,Medication,0,室性心律失常,,DIS-CARD-ARR-VA,可用于CDSS展示,197
手术/操作推荐,6,Procedure,0,室性心律失常,,DIS-CARD-ARR-VA,可用于CDSS展示,197
禁忌与风险预警,4,Contraindication、ClinicalRule,0,室性心律失常,,DIS-CARD-ARR-VA,可用于CDSS展示,197
随访,1,FollowUp,0,室性心律失常,,DIS-CARD-ARR-VA,可展示但需补强,197
预后/预防,1,Prognosis、Prevention,0,室性心律失常,,DIS-CARD-ARR-VA,可展示但需补强,197
并发症管理,3,Complication,0,室性心律失常,,DIS-CARD-ARR-VA,可用于CDSS展示,197
疑似疾病识别,30,Symptom、Sign,0,室性期前收缩,,DIS-CARD-ARR-PVC,可用于CDSS展示,604
诊断建议,6,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,室性期前收缩,,DIS-CARD-ARR-PVC,可用于CDSS展示,604
鉴别诊断,0,DifferentialDiagnosis,0,室性期前收缩,,DIS-CARD-ARR-PVC,缺口,604
推荐检查,9,Exam、ExamIndicator,0,室性期前收缩,,DIS-CARD-ARR-PVC,可用于CDSS展示,604
推荐检验,8,LabTest、LabTestIndicator,0,室性期前收缩,,DIS-CARD-ARR-PVC,可用于CDSS展示,604
风险分层,1,RiskStratification,0,室性期前收缩,,DIS-CARD-ARR-PVC,可展示但需补强,604
治疗方案,9,TreatmentPlan、RecommendationStatement,0,室性期前收缩,,DIS-CARD-ARR-PVC,可用于CDSS展示,604
药物推荐,14,Medication,0,室性期前收缩,,DIS-CARD-ARR-PVC,可用于CDSS展示,604
手术/操作推荐,7,Procedure,0,室性期前收缩,,DIS-CARD-ARR-PVC,可用于CDSS展示,604
禁忌与风险预警,4,Contraindication、ClinicalRule,0,室性期前收缩,,DIS-CARD-ARR-PVC,可用于CDSS展示,604
随访,1,FollowUp,0,室性期前收缩,,DIS-CARD-ARR-PVC,可展示但需补强,604
预后/预防,1,Prognosis、Prevention,0,室性期前收缩,,DIS-CARD-ARR-PVC,可展示但需补强,604
并发症管理,7,Complication,0,室性期前收缩,,DIS-CARD-ARR-PVC,可用于CDSS展示,604
疑似疾病识别,5,Symptom、Sign,0,尖端扭转型室性心动过速,,DIS-CARD-ARR-TDP,可用于CDSS展示,75
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,尖端扭转型室性心动过速,,DIS-CARD-ARR-TDP,可用于CDSS展示,75
鉴别诊断,0,DifferentialDiagnosis,0,尖端扭转型室性心动过速,,DIS-CARD-ARR-TDP,缺口,75
推荐检查,6,Exam、ExamIndicator,0,尖端扭转型室性心动过速,,DIS-CARD-ARR-TDP,可用于CDSS展示,75
推荐检验,2,LabTest、LabTestIndicator,0,尖端扭转型室性心动过速,,DIS-CARD-ARR-TDP,可展示但需补强,75
风险分层,1,RiskStratification,0,尖端扭转型室性心动过速,,DIS-CARD-ARR-TDP,可展示但需补强,75
治疗方案,5,TreatmentPlan、RecommendationStatement,0,尖端扭转型室性心动过速,,DIS-CARD-ARR-TDP,可用于CDSS展示,75
药物推荐,11,Medication,0,尖端扭转型室性心动过速,,DIS-CARD-ARR-TDP,可用于CDSS展示,75
手术/操作推荐,6,Procedure,0,尖端扭转型室性心动过速,,DIS-CARD-ARR-TDP,可用于CDSS展示,75
禁忌与风险预警,4,Contraindication、ClinicalRule,0,尖端扭转型室性心动过速,,DIS-CARD-ARR-TDP,可用于CDSS展示,75
随访,1,FollowUp,0,尖端扭转型室性心动过速,,DIS-CARD-ARR-TDP,可展示但需补强,75
预后/预防,1,Prognosis、Prevention,0,尖端扭转型室性心动过速,,DIS-CARD-ARR-TDP,可展示但需补强,75
并发症管理,2,Complication,0,尖端扭转型室性心动过速,,DIS-CARD-ARR-TDP,可展示但需补强,75
疑似疾病识别,29,Symptom、Sign,0,心室扑动与心室颤动,,DIS-CARD-ARR-VF,可用于CDSS展示,903
诊断建议,9,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,心室扑动与心室颤动,,DIS-CARD-ARR-VF,可用于CDSS展示,903
鉴别诊断,1,DifferentialDiagnosis,0,心室扑动与心室颤动,,DIS-CARD-ARR-VF,可展示但需补强,903
推荐检查,10,Exam、ExamIndicator,0,心室扑动与心室颤动,,DIS-CARD-ARR-VF,可用于CDSS展示,903
推荐检验,6,LabTest、LabTestIndicator,0,心室扑动与心室颤动,,DIS-CARD-ARR-VF,可用于CDSS展示,903
风险分层,1,RiskStratification,0,心室扑动与心室颤动,,DIS-CARD-ARR-VF,可展示但需补强,903
治疗方案,11,TreatmentPlan、RecommendationStatement,0,心室扑动与心室颤动,,DIS-CARD-ARR-VF,可用于CDSS展示,903
药物推荐,15,Medication,0,心室扑动与心室颤动,,DIS-CARD-ARR-VF,可用于CDSS展示,903
手术/操作推荐,11,Procedure,0,心室扑动与心室颤动,,DIS-CARD-ARR-VF,可用于CDSS展示,903
