subject_name,skeleton_slot,evidence_id,status,candidate_count,note
缺血性心肌病,treatment,CARD-SKELETON-FULL-20260709-EVID-0CF93D6A233EA2EB,ok_with_candidates,2,
隐匿型冠心病,diagnostic_criteria,CARD-SKELETON-FULL-20260709-EVID-7AB6B448483E1189,ok_with_candidates,5,
隐匿型冠心病,differential_diagnosis,CARD-SKELETON-FULL-20260709-EVID-4C06185571708576,ok_with_candidates,7,
隐匿型冠心病,treatment,CARD-SKELETON-FULL-20260709-EVID-789E5E9D4D1CED21,ok_with_candidates,4,
急性冠脉综合征,definition,CARD-SKELETON-FULL-20260709-EVID-F567D86EA839F2E8,ok_with_candidates,6,
不稳定型心绞痛和非 ST 段抬高型心肌梗死,definition,CARD-SKELETON-FULL-20260709-EVID-CE80B1547D829DAD,ok_with_candidates,2,
不稳定型心绞痛和非 ST 段抬高型心肌梗死,etiology,CARD-SKELETON-FULL-20260709-EVID-CF180CCC427784A8,ok_with_candidates,6,
不稳定型心绞痛和非 ST 段抬高型心肌梗死,clinical_manifestation,CARD-SKELETON-FULL-20260709-EVID-6B81334B97D2E2F1,ok_with_candidates,13,
不稳定型心绞痛和非 ST 段抬高型心肌梗死,exam,CARD-SKELETON-FULL-20260709-EVID-DFD34E3ADC6429B3,ok_with_candidates,11,
不稳定型心绞痛和非 ST 段抬高型心肌梗死,diagnostic_criteria,CARD-SKELETON-FULL-20260709-EVID-D9E41E3F0B9F2D53,ok_with_candidates,8,
不稳定型心绞痛和非 ST 段抬高型心肌梗死,differential_diagnosis,CARD-SKELETON-FULL-20260709-EVID-3B1F6B5BBEAB15A0,ok_with_candidates,5,
不稳定型心绞痛和非 ST 段抬高型心肌梗死,classification,CARD-SKELETON-FULL-20260709-EVID-58481CF31F07440A,ok_with_candidates,6,
不稳定型心绞痛和非 ST 段抬高型心肌梗死,risk_stratification,CARD-SKELETON-FULL-20260709-EVID-438AF26C82F05F2F,ok_with_candidates,3,
不稳定型心绞痛和非 ST 段抬高型心肌梗死,treatment,CARD-SKELETON-FULL-20260709-EVID-E60A0993B3902D4E,ok_with_candidates,11,
急性 ST 段抬高型心肌梗死,definition,CARD-SKELETON-FULL-20260709-EVID-CA254410D2ECFE8D,ok_with_candidates,5,
急性 ST 段抬高型心肌梗死,etiology,CARD-SKELETON-FULL-20260709-EVID-440C2F6A04DAA38B,ok_with_candidates,13,
急性 ST 段抬高型心肌梗死,pathogenesis,CARD-SKELETON-FULL-20260709-EVID-088BF350C542589C,ok_with_candidates,13,
急性 ST 段抬高型心肌梗死,clinical_manifestation,CARD-SKELETON-FULL-20260709-EVID-F0E24F3C0FFE38AA,ok_with_candidates,38,
急性 ST 段抬高型心肌梗死,exam,CARD-SKELETON-FULL-20260709-EVID-34301FB6D1302A81,ok_with_candidates,8,
急性 ST 段抬高型心肌梗死,diagnostic_criteria,CARD-SKELETON-FULL-20260709-EVID-E52C94E90D0EA0E2,ok_with_candidates,12,
急性 ST 段抬高型心肌梗死,differential_diagnosis,CARD-SKELETON-FULL-20260709-EVID-F400E1ABB466ACF4,ok_with_candidates,10,
急性 ST 段抬高型心肌梗死,treatment,CARD-SKELETON-FULL-20260709-EVID-4BCA4250B8AD28D0,ok_with_candidates,8,
急性 ST 段抬高型心肌梗死,prognosis,CARD-SKELETON-FULL-20260709-EVID-0B7221C8CB516E2A,ok_with_candidates,8,
急性 ST 段抬高型心肌梗死,follow_up,CARD-SKELETON-FULL-20260709-EVID-4F87E56A031DDB26,ok_with_candidates,8,
急性 ST 段抬高型心肌梗死,prevention,CARD-SKELETON-FULL-20260709-EVID-D368CF1562975037,ok_with_candidates,8,
冠状动脉痉挛,definition,CARD-SKELETON-FULL-20260709-EVID-7C6E10A10595579C,ok_with_candidates,8,
原发性高血压,definition,CARD-SKELETON-FULL-20260709-EVID-90024AE54992F73C,ok_with_candidates,5,
原发性高血压,etiology,CARD-SKELETON-FULL-20260709-EVID-4428DD2F909DAFC3,ok_with_candidates,13,
原发性高血压,exam,CARD-SKELETON-FULL-20260709-EVID-816DDBF5C2C8EC33,ok_with_candidates,8,
原发性高血压,diagnostic_criteria,CARD-SKELETON-FULL-20260709-EVID-1B92EF9269CF79BA,ok_with_candidates,5,
原发性高血压,differential_diagnosis,CARD-SKELETON-FULL-20260709-EVID-BFF35492C538159D,ok_with_candidates,5,
原发性高血压,classification,CARD-SKELETON-FULL-20260709-EVID-F4F34F7C916B9A64,ok_with_candidates,1,
原发性高血压,risk_stratification,CARD-SKELETON-FULL-20260709-EVID-841E5A975E2CEE20,ok_with_candidates,2,
原发性高血压,treatment,CARD-SKELETON-FULL-20260709-EVID-923909BD29AB7714,ok_with_candidates,9,
继发性高血压,definition,CARD-SKELETON-FULL-20260709-EVID-4C7183F6E791256D,ok_with_candidates,9,
心肌疾病,definition,CARD-SKELETON-FULL-20260709-EVID-8ECE48374C9EB749,ok_with_candidates,6,
肥厚型心肌病,definition,CARD-SKELETON-FULL-20260709-EVID-B98FF2D04D14C495,ok_with_candidates,3,
肥厚型心肌病,pathogenesis,CARD-SKELETON-FULL-20260709-EVID-F08673B3B9C30564,ok_with_candidates,9,
肥厚型心肌病,clinical_manifestation,CARD-SKELETON-FULL-20260709-EVID-4A65127F70D9B962,ok_with_candidates,6,
肥厚型心肌病,exam,CARD-SKELETON-FULL-20260709-EVID-E6CDAFA79D3E8D09,ok_with_candidates,9,
肥厚型心肌病,diagnostic_criteria,CARD-SKELETON-FULL-20260709-EVID-7627F9F5964D5CD3,ok_with_candidates,14,
肥厚型心肌病,differential_diagnosis,CARD-SKELETON-FULL-20260709-EVID-6E8F2777B6F0ACF9,ok_with_candidates,2,
肥厚型心肌病,treatment,CARD-SKELETON-FULL-20260709-EVID-E15E0A038C8909EC,ok_with_candidates,12,
扩张型心肌病,definition,CARD-SKELETON-FULL-20260709-EVID-DACCCDF318427922,ok_with_candidates,2,
扩张型心肌病,etiology,CARD-SKELETON-FULL-20260709-EVID-376D09B5CC392FD5,ok_with_candidates,10,
扩张型心肌病,pathogenesis,CARD-SKELETON-FULL-20260709-EVID-E93296AAF1C61EDA,ok_with_candidates,8,
扩张型心肌病,clinical_manifestation,CARD-SKELETON-FULL-20260709-EVID-4FB9AFEF2096C53A,ok_with_candidates,18,
扩张型心肌病,exam,CARD-SKELETON-FULL-20260709-EVID-F9A5C0E42E74791D,ok_with_candidates,10,
扩张型心肌病,diagnostic_criteria,CARD-SKELETON-FULL-20260709-EVID-1E3DDB5B9EC0AAC3,ok_with_candidates,7,
扩张型心肌病,differential_diagnosis,CARD-SKELETON-FULL-20260709-EVID-76AF468935EFBEFF,ok_with_candidates,7,
扩张型心肌病,treatment,CARD-SKELETON-FULL-20260709-EVID-D31A1CC1D4736222,ok_with_candidates,19,
非扩张型左心室心肌病,definition,CARD-SKELETON-FULL-20260709-EVID-133435BCEA23C9AF,ok_with_candidates,3,
