review_level,review_id,batch_id,disease_code,disease_name,scenario_type,relation_type,target_type,relation_id,target_code,target_name,review_decision,overall_risk_level,reviewer_name,reviewer_role,reviewed_at,expert_comment
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-054898C65875,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,,treated_by_medication,Medication,REL-054898C65875,MED-CARD-TEXT-93710567D3,洋地黄类药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-3B2B1279D520,BATCH-CARD-CAD-20260623-001,,,,treated_by_procedure,Procedure,REL-3B2B1279D520,PROC-HEART-TRANSPLANT,心脏移植,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-32E6FDA074E2,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-32E6FDA074E2,PLAN-CARD-TEXT-EEF9C97B59,血运重建,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-78821957140B,BATCH-CARD-CAD-20260623-001,,,,treated_by_procedure,Procedure,REL-78821957140B,PROC-CARD-TEXT-D9A9D30763,植入式心律转复除颤器,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-BDA378DC8E22,BATCH-CARD-CAD-20260623-001,,,,treated_by_procedure,Procedure,REL-BDA378DC8E22,PROC-CARD-TEXT-84551F84B4,射频消融术,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-D476819D6095,BATCH-CARD-CAD-20260623-001,,,,treated_by_procedure,Procedure,REL-D476819D6095,PROC-CARD-TEXT-23F5CDA89B,起搏器植入,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-087EB1F3B9F0,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,,treated_by_medication,Medication,REL-087EB1F3B9F0,MED-CARD-TEXT-28E925C6DE,钙通道阻滞剂,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-19AB2B9944F9,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,,treated_by_medication,Medication,REL-19AB2B9944F9,MED-CARD-TEXT-D07193A49C,溶栓药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-7DB146474B39,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,,treated_by_medication,Medication,REL-7DB146474B39,MED-CARD-55157DA54154,硝酸酯类药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-2CC1A45C46CC,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-2CC1A45C46CC,PLAN-CARD-TEXT-7CC38FBA6F,复律治疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-7ED683531C60,BATCH-CARD-CAD-20260623-001,,,,treated_by_procedure,Procedure,REL-7ED683531C60,PROC-CARD-TEXT-6248D2A735,瓣膜置换术,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-785CFAD5BF0F,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-785CFAD5BF0F,PLAN-CARD-TEXT-EEF9C97B59,血运重建,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-FEA159A623BE,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,,treated_by_medication,Medication,REL-FEA159A623BE,MED-CARD-TEXT-B905AF3E59,血管紧张素Ⅱ受体拮抗剂,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-B20B3C025020,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,,treated_by_medication,Medication,REL-B20B3C025020,MED-CARD-DAE0F0B68F1D,他汀类药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-3B8E13631E8B,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,,treated_by_medication,Medication,REL-3B8E13631E8B,MED-CARD-55157DA54154,硝酸酯类药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-7BF07BA9127E,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,,treated_by_medication,Medication,REL-7BF07BA9127E,MED-CARD-TEXT-4E798D0AB2,抗血小板药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-E478DB2B510B,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-E478DB2B510B,PLAN-CARD-A1C4E6332D38,抗凝治疗,,,,,,
