disease_code,disease_name,entity_type,name,node_codes,node_count
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Procedure,同步直流电复律,"['PROC-CARD-7FD747D740F0', 'PROC-CARD-STEMI-7FD747D740F0']",2
DIS-CARD-CAD-UA,不稳定型心绞痛,Exam,X线,"['CARD-SKELETON-20260709-EXAM-B66979D14041DD2B', 'EXAM-CARD-CADREM-UA-C78840F44A']",2
DIS-CARD-CAD-UA,不稳定型心绞痛,Exam,胸部X线,"['EXAM-CARD-CADREM-UA-D690076CB8', 'EXAM-CARD-D690076CB8EB']",2
DIS-CARD-CAD-UA,不稳定型心绞痛,LabTest,红细胞沉降率,"['LAB-CARD-TEXT-1BE2B3C08B', 'LAB-CARD-1BE2B3C08B76']",2
DIS-CARD-CAD-UA,不稳定型心绞痛,LabTest,肌钙蛋白,"['CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595', 'LAB-CARD-CADREM-UA-BE6E060391']",2
DIS-CARD-CHD,先天性心脏病,Exam,心脏磁共振,"['EXAM-CMR', 'EXAM-CARD-61766890B7D2']",2
DIS-CARD-CHD,先天性心脏病,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-CM-DCM,扩张型心肌病,Exam,胸部X线,"['CARD-SKELETON-20260709-EXAM-93C0CE477B5767D4', 'EXAM-CARD-D690076CB8EB']",2
DIS-CARD-CM-HCM,肥厚型心肌病,LabTest,红细胞沉降率,"['LAB-CARD-TEXT-1BE2B3C08B', 'LAB-CARD-1BE2B3C08B76']",2
DIS-CARD-CM-RCM,限制型心肌病,Exam,胸部X线,"['CARD-SKELETON-20260709-EXAM-93C0CE477B5767D4', 'EXAM-CARD-D690076CB8EB']",2
DIS-CARD-DYSLIPIDEMIA,血脂异常,Exam,心脏磁共振,"['EXAM-CMR', 'EXAM-CARD-61766890B7D2']",2
DIS-CARD-DYSLIPIDEMIA,血脂异常,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-FULMINANT-MYOCARDITIS,暴发性心肌炎,Exam,心脏磁共振,"['EXAM-CMR', 'EXAM-CARD-61766890B7D2']",2
DIS-CARD-FULMINANT-MYOCARDITIS,暴发性心肌炎,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-HF,心力衰竭,LabTest,C反应蛋白,"['LAB-CARD-TEXT-BF2619C772', 'LAB-CARD-BF2619C772EC']",2
DIS-CARD-HF,心力衰竭,LabTest,红细胞沉降率,"['LAB-CARD-TEXT-1BE2B3C08B', 'LAB-CARD-1BE2B3C08B76']",2
DIS-CARD-HF-AHF,急性心力衰竭,LabTest,红细胞沉降率,"['LAB-CARD-TEXT-1BE2B3C08B', 'LAB-CARD-1BE2B3C08B76']",2
DIS-CARD-HT-PA,原发性醛固酮增多症,TreatmentPlan,降压治疗,"['PLAN-CARD-TEXT-BDE62A3BE0', 'PLAN-CARD-BDE62A3BE028']",2
DIS-CARD-HT-PRIMARY,原发性高血压,Definition,原发性高血压定义,"['CARD-SKELETON-FULL-20260709-DEFINITION-A8C481223FF721ED', 'DEF-HT-PRIMARY']",2
