entityType,name,cnt,codes
Medication,血管紧张素Ⅱ受体拮抗剂,2,"['MED-CARD-TEXT-B905AF3E59', 'MED-CARD-92F68F550745']"
Medication,辛伐他汀,2,"['MED-CARD-D8C2F2ED78A6', 'MED-CARD-STD-D8C2F2ED78']"
Medication,达格列净,2,"['MED-CARD-3B4D860E5C07', 'MED-CARD-STD-3B4D860E5C']"
Medication,阿托品,2,"['MED-CARD-EF0B44CD1F78', 'MED-CARD-ATROPINE']"
Prevention,AMI相关的死亡一半发生于送到医院前,2,"['CARD-SKELETON-FULL-20260709-PREVENTION-0B133CA60E30871F', 'PREV-CARD-CADREM-AMI-D96BC8BF35']"
Prevention,与梗死范围大小、侧支循环产生情况以及治疗是否及时等有关,2,"['CARD-SKELETON-FULL-20260709-PREVENTION-39DED7A9229ABD49', 'PREV-CARD-CADREM-AMI-7736BF94EA']"
Prevention,其中院外死亡中相当高的比例为猝死,2,"['CARD-SKELETON-FULL-20260709-PREVENTION-441A368EEE207483', 'PREV-CARD-CADREM-AMI-41093999D4']"
Prevention,发生严重心律失常、休克或心衰者,2,"['CARD-SKELETON-FULL-20260709-PREVENTION-9C696610F67F6F68', 'PREV-CARD-CADREM-AMI-5CCB3B8EDF']"
Prevention,因心脏监护室、现代药物治疗进展和再灌注治疗等综合措施的使用,2,"['CARD-SKELETON-FULL-20260709-PREVENTION-C0D679F5DC4D62C9', 'PREV-CARD-CADREM-AMI-EE17DD237A']"
Prevention,在正常人群中预防动脉粥样硬化和冠心病属于一级预防,2,"['CARD-SKELETON-FULL-20260709-PREVENTION-089948C388A00C52', 'PREV-CARD-CADREM-AMI-A6288B4BFC']"
Prevention,死亡多发生在第一周内,2,"['CARD-SKELETON-FULL-20260709-PREVENTION-CB56E98BF72AB749', 'PREV-CARD-CADREM-AMI-FC8D4931FC']"
Prognosis,AMI相关的死亡一半发生于送到医院前,2,"['CARD-SKELETON-FULL-20260709-PROGNOSIS-4573052A43E6370A', 'PROG-CARD-CADREM-AMI-9AD9A3BA00']"
Prognosis,与梗死范围大小、侧支循环产生情况以及治疗是否及时等有关,2,"['CARD-SKELETON-FULL-20260709-PROGNOSIS-55A1A3A543DBFE9D', 'PROG-CARD-CADREM-AMI-BD33C708D7']"
Prognosis,其中院外死亡中相当高的比例为猝死,2,"['CARD-SKELETON-FULL-20260709-PROGNOSIS-3658F5F111EE1F5F', 'PROG-CARD-CADREM-AMI-13D1200302']"
Prognosis,发生严重心律失常、休克或心衰者,2,"['CARD-SKELETON-FULL-20260709-PROGNOSIS-A2A048DCDA0AC8E5', 'PROG-CARD-CADREM-AMI-E734B17057']"
Prognosis,因心脏监护室、现代药物治疗进展和再灌注治疗等综合措施的使用,2,"['CARD-SKELETON-FULL-20260709-PROGNOSIS-07B0F01213200B22', 'PROG-CARD-CADREM-AMI-8D1D41B8A6']"
Prognosis,在正常人群中预防动脉粥样硬化和冠心病属于一级预防,2,"['CARD-SKELETON-FULL-20260709-PROGNOSIS-27A9355C85B46659', 'PROG-CARD-CADREM-AMI-2F126AC8BE']"
Prognosis,死亡多发生在第一周内,2,"['CARD-SKELETON-FULL-20260709-PROGNOSIS-E84D617C60D85FCB', 'PROG-CARD-CADREM-AMI-7FF781455B']"
RiskFactor,贫血,2,"['CARD-SKELETON-20260709-RISKFACTOR-9E20590F671491DC', 'RF-CARD-CADREM-CCS-2196488858']"
Symptom,尿量减少,2,"['CARD-SKELETON-FULL-20260709-SYMPTOM-B787C9901075EAF5', 'SYM-CARD-CADREM-AMI-2EF0504672']"
Symptom,胸部不适,2,"['CARD-SKELETON-FULL-20260709-SYMPTOM-6E063E46C043FE83', 'SYM-CARD-STEMI-7BB41731BD9D']"
