disease_code,disease_name,match_type,cdss_dict_id,standard_code,standard_name,valid_flag
DIS-CARD-VSD,室间隔缺损,标准名称精确匹配,a82c0e94b26a9f11025430fcde31f237,Q21.000,室间隔缺损,1
DIS-CARD-FH,家族性高胆固醇血症,标准名称精确匹配,c363ca06b4e7f0c0af4790fbeb49d268,E78.001,家族性高胆固醇血症,1
DIS-CARD-ARR-TDP,尖端扭转型室性心动过速,标准名称精确匹配,6a979f3b09dc8980068cdc75554b65fa,I47.200x001,尖端扭转型室性心动过速,1
DIS-CARD-HF-LEFT,左心衰竭,标准名称精确匹配,003709945bb07a417e7946a1750a9ea4,I50.100x006,左心衰竭,1
DIS-CARD-HF-GENERAL,心力衰竭,标准名称精确匹配,db94a5333fd9453dacae2eade4e74c1e,I50.900,心力衰竭,1
DIS-CARD-PERICARDITIS,心包炎,标准名称精确匹配,6c9c77a1c30846e40eb258801d191d0d,I31.902,心包炎,1
DIS-CARD-ARR-AFL,心房扑动,标准名称精确匹配,c666dc0f60205f7f4402e7f6133d8576,I48.x03,心房扑动,1
DIS-CARD-ARR-AF,心房颤动,标准名称精确匹配,c0cfdedddfa6ebfb855672794ca27c6b,I48.x01,心房颤动,1
DIS-CARD-MYOCARDITIS,心肌炎,标准名称精确匹配,48d8556e94f3520e45a8ca0ab41794b2,I51.400,心肌炎,1
DIS-CARD-CM-GENERAL,心肌病,标准名称精确匹配,d4c92d7b4031091f475c20c62bffcd04,I42.900,心肌病,1
DIS-CARD-VHD,心脏瓣膜病,标准名称精确匹配,9d660750bc292517a932076f2acead7c,I38.x01,心脏瓣膜病,1
DIS-CARD-CAD-ACS,急性冠脉综合征,标准名称精确匹配,c2001b708d61f08722ab4b8ff3fc7704,I24.901,急性冠脉综合征,1
DIS-CARD-HF-AHF,急性心力衰竭,标准名称精确匹配,34f03d2c54e501d0d005e115626507f6,I50.907,急性心力衰竭,1
DIS-CARD-PERICARD-ACUTE,急性心包炎,标准名称精确匹配,0245ad1a5fbed5a0c6b96284a817fec3,I30.900,急性心包炎,1
DIS-CARD-CAD-AMI,急性心肌梗死,标准名称精确匹配,adb56b7ed55412d0630ec4f16af30860,I21.900,急性心肌梗死,1
DIS-CARD-INFECTIVE-ENDOCARDITIS,感染性心内膜炎,标准名称精确匹配,c7d9fb2f930c00784a64cea50e3fad7f,I33.000x004,感染性心内膜炎,1
DIS-CARD-HF-CHF,慢性心力衰竭,标准名称精确匹配,a038aa718b8e2c158984f6d18163a41b,I50.908,慢性心力衰竭,1
DIS-CARD-ARR-AVB,房室传导阻滞,标准名称精确匹配,e598f7aaf1140cc7786fdad87633114d,I44.303,房室传导阻滞,1
DIS-CARD-ARR-AVRT,房室折返性心动过速,标准名称精确匹配,265555965e6a44ac0b8ea65f7a401296,I47.100x005,房室折返性心动过速,1
DIS-CARD-ARR-AVNRT,房室结折返性心动过速,标准名称精确匹配,21dd37e340ea5a814951f0abdb53365d,I47.100x004,房室结折返性心动过速,1
DIS-CARD-ARR-AT,房性心动过速,标准名称精确匹配,9cd9a0b744409e3a0b1a7c0ee7a10850,I47.101,房性心动过速,1
