disease,disease_code,plan,plan_code,direct_rel_type,direct_formal_ready,formal_rec_n,plan_downstream_n,plan_evidence_n,downstream_examples
室间隔缺损,DIS-CARD-VSD,室间隔缺损治疗方案,PLAN-CARD-A28566374E66,has_treatment_plan,,0,2,43,"['经皮介入治疗', '球囊成形术']"
家族性高胆固醇血症,DIS-CARD-FH,家族性高胆固醇血症治疗方案,PLAN-CARD-EE903EDF472E,has_treatment_plan,,0,2,24,"['经皮介入治疗', '他汀类药物']"
射血分数保留的心力衰竭,DIS-CARD-HF-HFpEF,射血分数保留的心力衰竭治疗方案,PLAN-CARD-71EEE6F12EA8,has_treatment_plan,False,0,3,60,"['钠-葡萄糖协同转运蛋白2抑制剂', '袢利尿剂', '射血分数保留的心力衰竭治疗路径']"
射血分数轻度降低的心力衰竭,DIS-CARD-HF-HFmrEF,射血分数轻度降低的心力衰竭治疗方案,PLAN-CARD-BC4747CE025F,has_treatment_plan,False,0,5,13,"['β受体阻滞剂', '钠-葡萄糖协同转运蛋白2抑制剂', '盐皮质激素受体拮抗剂', '血管紧张素受体脑啡肽酶抑制剂', '射血分数轻度降低的心力衰竭治疗路径']"
射血分数降低的心力衰竭,DIS-CARD-HF-HFrEF,射血分数降低的心力衰竭治疗方案,PLAN-CARD-4C0507593DD1,has_treatment_plan,False,0,6,48,"['钠-葡萄糖协同转运蛋白2抑制剂', 'β受体阻滞剂', '袢利尿剂', '血管紧张素受体脑啡肽酶抑制剂', '盐皮质激素受体拮抗剂']"
尖端扭转型室性心动过速,DIS-CARD-ARR-TDP,ICD治疗,PLAN-CARD-946BE3CB675F,has_treatment_plan,False,0,1,669,['埋藏式心脏转复除颤器']
尖端扭转型室性心动过速,DIS-CARD-ARR-TDP,射频消融治疗,PLAN-CARD-8D7FDE84DC07,has_treatment_plan,False,0,1,98,['导管消融']
尖端扭转型室性心动过速,DIS-CARD-ARR-TDP,尖端扭转型室性心动过速治疗方案,PLAN-CARD-6162E45256D2,has_treatment_plan,False,0,22,33,"['硫酸镁', '美托洛尔', '普萘洛尔', '普罗帕酮', '钾剂']"
尖端扭转型室性心动过速,DIS-CARD-ARR-TDP,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,has_treatment_plan,False,0,4,175,"['索他洛尔', '利多卡因', '胺碘酮', '抗心律失常药物']"
尖端扭转型室性心动过速,DIS-CARD-ARR-TDP,电复律除颤,PLAN-CARD-A694F46F1102,has_treatment_plan,False,0,2,301,"['电除颤', '同步电复律']"
左心衰竭,DIS-CARD-HF-LEFT,左心衰竭治疗方案,PLAN-CARD-D0BC88D1FA7D,has_treatment_plan,False,0,2,45,"['袢利尿剂', '左心衰竭治疗路径']"
心力衰竭,DIS-CARD-HF,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
